ewe_lpn,ewe_dob,ewe_bwt,ewe_wwt,ewe_ywt,ewe_pwwt,ewe_nlb,recommended_sire_lpn,sire_bwt,sire_wwt,sire_ywt,sire_pwwt,sire_nlb,predicted_bwt,predicted_wwt,predicted_ywt,predicted_pwwt,predicted_nlb,coi,mating_status,notes
6401492020FLE249,2020-02-05,0.243,3.039,3.55,4.611,0.116,6402382024NCS310,-0.231,1.231,1.002,1.942,0.104,0.006,2.135,2.276,3.277,0.110,0,Safe,Proven ewe with high-accuracy EBVs
6401492022FLE002,2022-01-23,-0.176,-0.016,-1.363,-0.917,0.055,External Ram Required,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Recommended,Low growth - needs high-growth ram compensation
6401492023FLE078,2023-02-21,0.305,1.611,0.643,1.592,-0.052,6402382024NCS310,-0.231,1.231,1.002,1.942,0.104,0.037,1.421,0.823,1.767,0.026,0,Safe,Moderate performer - suitable for NCS310
6401492025FLE011,2025-02-17,0,2.19,2.235,3.523,0.178,External Ram Required,-N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Avoid - Father/Daughter,Sired by NCS310 - must use external ram
6401492025FLE024,2025-02-20,0.471,2.839,4.58,4.991,0.124,6402382024NCS310,-0.231,1.231,1.002,1.942,0.104,0.120,2.035,2.791,3.467,0.114,0,Safe,Higher BWT - NCS310 will balance
6401492025FLE029,2025-02-21,0.177,2.128,3.645,4.043,0.116,External Ram Required,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Avoid - Father/Daughter,Sired by NCS310 - must use external ram
6401492025FLE047,2025-02-24,0.432,2.948,5.038,5.104,0.042,6402382024NCS310,-0.231,1.231,1.002,1.942,0.104,0.101,2.090,3.020,3.523,0.073,0,Safe,Excellent yearling weight - NCS310 for BWT control
6401492025FLE082,2025-02-28,0.334,2.694,4.383,4.784,0.113,6402382024NCS310,-0.231,1.231,1.002,1.942,0.104,0.052,1.963,2.693,3.363,0.109,0,Safe,Strong balanced growth
6401492025FLE087,2025-03-02,0.352,3.069,5.726,5.898,0.132,6402382024NCS310,-0.231,1.231,1.002,1.942,0.104,0.061,2.150,3.364,3.920,0.118,0,Safe,Top growth performer - consider elite external ram
6401492025FLE008,2025-02-16,0.17,2.722,3.656,4.552,0.168,External Ram Required,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Avoid - Father/Daughter,Sired by NCS310 - must use external ram
